FlatSize,Speed,Repeat,RMS,Peak,CrestFactor,Kurtosis,Skewness,ShapeFactor,ImpulseFactor,SpectralEntropy,BandEnergy_0_200Hz,BandEnergy_200_1000Hz,BandEnergy_1000_3000Hz,FFT_PeakFreq,FFT_SpectralCentroid,FFT_SpectralRolloff,STFT_SpectralEntropy,CWT_Entropy,ImpactCount
0,5,20,55.70339787806815,214.33800060052747,3.847844274593486,9342.86390939433,75.016432360565,1.0002446785029961,3.8487857593703554,4.05641116329219,0.0035154063648747203,0.06746596947268987,0.9290186241624353,2786.333333333333,1293.4275207530018,3271.333333333333,0.7374114202468196,5.668973485223921,0
0,5,21,55.70230188828519,214.25888280622894,3.8464996156880535,9692.831261798956,77.0713732521923,1.0002399391090742,3.8474225413788963,3.599571179862391,0.0014650243841855782,0.06189774628031907,0.9366372293354953,2786.333333333333,1286.2089492400899,3255.333333333333,0.7373144208368191,5.662605068939271,0
0,5,22,55.703290703900876,214.26033315482292,3.8464573716794503,9675.595543281266,76.9893073398313,1.0002401695898133,3.847381173768641,3.64936922371576,0.0016163502008654219,0.06266103415621724,0.9357226156429173,2786.333333333333,1286.6091635973635,3257.0,0.7373193783992732,5.66422929134364,0
0,5,23,55.702337880854174,214.22824917177755,3.8459471778367025,9653.370650846615,76.83955298838463,1.0002403377814066,3.8468715042488304,3.660254053150955,0.00176657635523145,0.06289602947621113,0.9353373941685573,2786.333333333333,1286.126692532452,3254.333333333333,0.7373346846569959,5.663165481912692,0
0,5,24,55.70323157021876,214.2654337035556,3.8465530214967045,9754.86109723059,77.45314514138308,1.0002391966243163,3.8474731039947003,3.5138289689592375,0.0011392381649540041,0.06063929353924768,0.9382214682957983,2786.333333333333,1285.1462774058227,3252.6666666666665,0.7373106546170463,5.663101849817381,0
0,5,25,55.702424983690285,214.19100522710877,3.8452725404652326,9733.353527909696,77.33178368546437,1.0002392526697588,3.8461925321864885,3.5343696296434226,0.001187804028055843,0.06106668546652711,0.9377455105054171,2786.333333333333,1284.562810566514,3253.333333333333,0.7373107947467082,5.663589964599973,0
0,5,26,55.70162693088746,214.37252763193524,3.8485864676434107,9452.545815219732,75.61812435000327,1.0002433102758628,3.8495228682785347,3.957533954829499,0.00286811538246156,0.06727425414277627,0.9298576304747621,2786.333333333333,1291.7033159065375,3267.6666666666665,0.7373909978286504,5.665711543179111,0
0,5,27,55.703032090307076,214.3752784282653,3.8485387668074336,9500.702832260295,75.9712299905932,1.0002427607849953,3.849473041099549,3.8730675587530117,0.0027342570475932357,0.06566415631675418,0.9316015866356526,2786.333333333333,1289.442996827703,3260.333333333333,0.7373855427600674,5.662955645027029,0
0,5,28,55.703204237012955,214.11345281148905,3.8438265041352446,9615.02391547602,76.61610652114037,1.0002404683588337,3.8447508227863354,3.720883425772609,0.001873309441227435,0.06393381824746144,0.9341928723113111,2786.333333333333,1287.3834776867623,3259.333333333333,0.7373295478700832,5.664110082086185,0
0,5,29,55.70203531482978,214.22957782026648,3.845991921290375,9465.173193643035,75.7165630949848,1.0002427283917708,3.846925452724193,3.9281956022658884,0.0028669973171434582,0.06618658333208062,0.9309464193507759,2786.333333333333,1291.460211803144,3269.6666666666665,0.737374813261194,5.665773663547638,0
0,5,30,55.70204523410142,214.34770790353014,3.8481119858827744,9697.08936415459,77.10292736875282,1.0002401633252744,3.849036161253332,3.61380206947247,0.0014748950596218963,0.0624689750100811,0.936056129930297,2786.333333333333,1286.514531709165,3256.333333333333,0.7373280253301832,5.6633982515572345,0
